date,open,high,low,close,volume,dividend_amount
2005-12-19,635.7996,643.649,635.7996,640.6961,3512320.0,0.0
2005-12-20,644.3966,647.3868,636.9209,638.9394,4822389.0,0.0
2005-12-21,638.4907,645.518,634.7156,642.864,6563464.0,0.0
2005-12-22,646.0785,650.0033,637.6686,639.2384,7365642.0,0.0
2005-12-23,642.1539,643.649,627.9875,629.7443,7350338.0,0.0
2005-12-26,627.9502,631.6133,618.6057,622.1939,8073942.0,0.0
2005-12-27,622.7173,650.377,619.3907,647.9475,9610749.0,0.0
2005-12-28,651.1246,665.1787,649.6669,652.1711,24049475.0,0.0
2005-12-29,655.9836,669.0659,654.1148,666.5991,12889709.0,0.0
2005-12-30,667.5708,673.5514,662.0389,665.0666,45702116.0,0.0
2006-01-02,667.9072,674.0747,666.487,671.6824,5356330.0,0.0
2006-01-03,672.8038,689.9976,669.8136,687.3812,7768176.0,0.0
2006-01-04,687.3812,699.6411,687.3812,694.9315,8341985.0,0.0
2006-01-05,694.4831,699.6411,687.7551,688.9885,8449115.0,0.0
2006-01-06,689.9976,696.5762,683.307,687.6802,8505660.0,0.0
2006-01-09,689.2502,692.988,677.3266,680.0551,10531512.0,0.0
2006-01-10,680.3168,682.4473,664.5807,667.9821,18589750.0,0.0
2006-01-12,662.3379,670.8602,652.9934,663.2725,31892557.0,0.0
2006-01-13,663.0856,670.5612,660.1327,661.6652,15235840.0,0.0
2006-01-16,662.3753,662.3753,646.0038,652.6944,29857462.0,0.0
2006-01-17,650.377,700.8372,650.377,693.8475,63571193.0,0.0
2006-01-18,702.8998,727.7497,685.9998,693.8497,128656301.0,0.0
2006-01-19,694.9998,706.7998,690.2498,704.1997,18672684.0,0.0
2006-01-20,704.9998,708.9997,701.9998,703.3497,6579928.0,0.0
2006-01-23,694.9998,705.7998,694.9998,701.4498,6340588.0,0.0
2006-01-24,704.7499,711.9998,688.8498,693.3498,14932977.0,0.0
2006-01-25,695.8999,699.4998,685.2998,688.0997,15484597.0,0.0
2006-01-27,694.9998,703.4498,692.9997,698.5997,6951260.0,0.0
2006-01-30,704.9998,717.9998,704.9998,711.4997,11057353.0,0.0
2006-01-31,710.9998,719.3998,708.5998,713.6998,12421338.0,0.0
2006-02-01,714.9997,718.4997,701.3997,705.8499,6602189.0,0.0
2006-02-02,701.9998,711.3998,700.9997,707.7498,5665746.0,0.0
2006-02-03,706.9997,709.9998,695.0499,696.5999,4919738.0,0.0
2006-02-06,689.9999,722.0998,684.5499,720.1498,13608347.0,0.0
2006-02-07,719.9998,723.7998,706.5997,720.3998,9844496.0,0.0
2006-02-08,719.9998,724.9497,713.9999,716.1998,8289058.0,0.0
2006-02-10,715.9997,723.2499,714.1998,719.8997,5369078.0,0.0
2006-02-13,718.9998,720.9999,715.7498,716.4998,3470065.0,0.0
2006-02-14,715.9997,724.3997,712.5999,713.9999,8771889.0,0.0
2006-02-15,715.5497,718.9998,696.4997,700.9499,8818428.0,0.0
2006-02-16,702.4999,709.9998,694.2497,696.7997,4915543.0,0.0
2006-02-17,697.9999,707.4998,690.1499,693.2998,5747630.0,0.0
2006-02-20,694.9998,702.8998,675.0998,701.4498,4063386.0,0.0
2006-02-21,700.9997,706.7998,694.3499,697.8498,3872353.0,0.0
2006-02-22,696.9998,705.4998,696.9998,702.5497,5283515.0,0.0
2006-02-23,699.9997,707.4497,695.1498,700.3999,4901438.0,0.0
2006-02-24,699.9997,706.6999,699.2498,702.2998,3374040.0,0.0
2006-02-27,701.9998,718.9998,696.9998,700.0999,5572023.0,0.0
2006-02-28,699.9997,714.2498,695.9998,708.7498,12971383.0,0.0
2006-03-01,707.9997,713.6998,703.1999,707.8998,4870179.0,0.0
2006-03-02,708.0498,718.8999,707.1497,712.9998,6923393.0,0.0
2006-03-03,712.9998,717.9998,708.7999,715.6997,6350889.0,0.0
2006-03-06,715.9997,733.6998,714.9997,731.8998,9158235.0,0.0
2006-03-07,733.0997,739.3997,728.8997,731.8497,6481112.0,0.0
2006-03-08,730.9997,733.8999,711.0499,719.4498,8881680.0,0.0
2006-03-09,718.9998,728.5498,711.9998,726.6998,5620702.0,0.0
2006-03-10,725.9998,737.0998,725.9998,732.1498,3730024.0,0.0
2006-03-13,725.9998,740.7997,725.9998,732.3498,2763812.0,0.0
2006-03-14,731.9997,746.3999,729.0998,742.0499,7477068.0,0.0
2006-03-16,746.9997,770.0498,746.8998,768.4998,8649249.0,0.0
2006-03-17,767.0998,781.8997,763.2998,774.6498,10821041.0,0.0
2006-03-20,770.9997,779.9998,770.9997,776.1998,3851981.0,0.0
2006-03-21,774.9999,793.9997,774.9999,780.2998,4943450.0,0.0
2006-03-22,779.9998,785.9997,759.3998,770.7999,8412958.0,0.0
2006-03-23,769.9997,783.4998,768.4497,777.1497,6141067.0,0.0
2006-03-24,776.9997,787.9998,775.9997,782.2999,4487153.0,0.0
2006-03-27,781.9998,797.3998,781.9998,794.1498,68473725.0,0.0
2006-03-28,793.9997,797.5498,786.5998,791.0497,74849182.0,0.0
2006-03-29,790.9997,797.3998,787.5998,793.9497,2588641.0,0.0
2006-03-30,792.9997,805.6998,790.4998,795.1498,35166663.0,0.0
2006-03-31,794.9998,808.4998,791.0497,796.2498,164875631.0,0.0
2006-04-03,795.9998,834.9998,795.9998,829.2498,6799041.0,0.0
2006-04-04,828.9996,842.6497,828.9996,837.6498,4536554.0,0.0
2006-04-05,836.9997,842.9998,831.8497,839.5497,4055140.0,0.0
2006-04-07,838.9997,848.8998,826.4997,832.4998,7408869.0,0.0
2006-04-10,830.9997,838.9997,824.2497,834.8997,3929936.0,0.0
2006-04-12,833.9998,858.4997,820.9998,828.5498,11748354.0,0.0
2006-04-13,830.2498,852.3998,825.9998,847.0498,11924680.0,0.0
2006-04-17,846.9997,856.6997,846.2997,851.5498,3247431.0,0.0
2006-04-18,850.9998,895.8996,850.9998,891.2498,11041564.0,0.0
2006-04-19,890.9997,931.1998,890.9997,920.8498,13761955.0,0.0
2006-04-20,919.9998,999.9496,919.9998,994.8996,25490962.0,0.0
2006-04-21,993.9997,999.9997,954.0498,974.2996,13654599.0,0.0
2006-04-24,973.9998,998.9996,969.9997,976.5496,7978329.0,0.0
2006-04-25,975.9997,982.9996,949.0997,952.7497,6018770.0,0.0
2006-04-26,951.9996,981.9996,951.9996,977.8497,7222739.0,0.0
2006-04-27,979.9998,1012.9996,979.9998,996.4997,15429295.0,0.0
2006-04-28,985.5497,1010.9998,970.9997,1007.7996,8635823.0,0.0
2006-05-02,1020.9996,1043.9996,1020.9996,1031.4497,3148337.0,0.0
2006-05-03,1030.9997,1039.9997,1021.9996,1034.7496,2949200.0,0.0
2006-05-04,1033.9998,1121.9996,1033.9998,1079.1497,18203691.0,0.0
2006-05-05,1081.9996,1108.9997,1081.9996,1099.4998,6599149.0,0.0
2006-05-08,1100.9997,1169.7996,1100.9997,1155.6496,11456293.0,0.0
2006-05-09,1162.6997,1168.9996,1135.3497,1154.9496,8877008.0,0.0
2006-05-10,1153.9997,1194.9997,1138.5496,1170.0996,9615437.0,0.0
2006-05-11,1189.3997,1189.3997,1098.4997,1108.4996,21631204.0,0.0
2006-05-12,1108.7497,1108.7497,1057.5497,1066.9497,12286769.0,0.0
2006-05-15,1059.9996,1069.9997,1011.9998,1021.1496,15005666.0,0.0
2006-05-16,1016.9997,1051.9996,976.1997,1043.2996,18505258.0,0.0
2006-05-17,1059.8997,1091.8997,1049.9998,1087.0997,6656348.0,0.0
2006-05-18,1078.9997,1079.9997,994.9997,1004.6998,12788858.0,0.0
2006-05-19,1010.9998,1050.9996,959.9996,976.5496,20642270.0,0.0
2006-05-22,988.9998,994.6997,805.9999,931.5997,19285149.0,0.0
2006-05-23,930.9997,980.9497,922.0998,969.0996,13190064.0,0.0
2006-05-24,968.9997,971.9998,935.9996,938.4998,11911577.0,0.0
2006-05-25,939.9997,959.8997,924.9997,948.4498,10066367.0,0.0
2006-05-26,947.9997,991.2997,947.9997,957.5996,10737558.0,0.0
2006-05-29,956.9998,977.9997,951.1496,956.5497,5603657.0,0.0
2006-05-30,955.9997,976.5997,945.4998,955.1497,5447634.0,0.0
2006-05-31,945.6996,962.2997,918.5998,953.2496,13122895.0,0.0
2006-06-01,952.9997,968.9997,924.9997,925.3997,10511992.0,2.4764
2006-06-02,924.9997,961.6498,924.9997,957.3497,9574786.0,0.0
2006-06-05,958.9996,970.9997,925.0498,925.5998,10198812.0,0.0
